,ID,Popularity,Duration
"Mere Khwabon Mein (From ""Dilwale Dulhania Le Jayenge"")",4gYBJIMEnBB0Ylz7VSAMNt,40.0,256440.0
"Phir Dhan Te Nan (From ""Kuttey"")",201VNiUkMr44r6XbH6Ioz2,53.0,260148.0
Nit Nit,6GT0oiQdjiYX91qgAMi7Vd,58.0,246136.0
Are Re Are (Part-2),39DfslxGf8Hh0ljKN8h0Ng,55.0,125518.0
Tera Fitoor,1YMLgvsQdE27r30q0fsLeV,61.0,310000.0
Woh Lamhe Woh Baatein,3pE3QvVrRLyno5TwEBDRFo,41.0,320040.0
"Beedi (From ""Omkara"")",0AQtEH8Aq0SWP6aATrBi1U,39.0,350160.0
Sukoon Mila,4nydCE0L7G13XLKPzvLlNs,62.0,200437.0
High On Love,6kekHWEQ4SyMe5EjYAlveP,60.0,240169.0
Jhoome Jo Pathaan - Arabic Version,4CZdADmBKmbjjK4qgZigDV,49.0,208164.0
India Waale,69EoR3Z8jgRODL3AmQs5ZP,49.0,237714.0
Yemito,1eknwgCfzOXC0VRTst91l7,56.0,268826.0
Deewana Hai Dekho,1CK7tnXhsr0Br5ZzbZdBzh,55.0,345266.0
Phir Mohabbat,2b2HutIDmoeBnnKRWDLAtV,61.0,329851.0
Kya Karoon?,4Yp8zw7b35bheMVTp39o5O,52.0,236160.0
Chaap Tilak,2mVqfKbKGmxVXlVswhlI5T,51.0,532300.0
"You Are My Soniya (From ""Kabhi Khushi Kabhie Gham"")",0vt3DlLY9G276aK4p29yRT,46.0,343613.0
Tose Naina,2dPUug9YiNL4ypu8UF8SnD,58.0,263549.0
"Jo Tum Saath Ho (From ""Salaam Venky"")",6pFAVtBhANwBgG6sZzZju2,57.0,348851.0
Yaad Teri Aati Hai Remix,0oIejIt8qFF3XwPFvM2skR,3.0,288369.0
Inthalo Ennenni Vinthalo Male,76eCC3r9jrVDsQnfAqQNH4,55.0,260000.0
Tumi Ki Ekhon (Lofi),1yLhSXFimsK4QIuXaunCTL,1.0,245634.0
Shyama Ma Ki Amar Kalo (Lofi),6P8sBiFaxM3KnkmKyJA3Hu,1.0,192758.0
Aar Katokal Ami Saibo (Lofi),1HfnUE00QTBHktHQRGjTQE,1.0,214836.0
Zara Zara,5gUuhtkbrISUIlqjD3oYgv,40.0,298266.0
Age Janle Tor (Lofi),4F3aE3vKUBhElDbHmHLf11,1.0,242290.0
Yeh Dil Ye Pagal Dil (Remix),0Cwffo9ObekxFbVdZbw0Gs,13.0,211986.0
Amar Sadh Na Mitilo (Lofi),2jjjX1RsrXWIqOnV4sqmOy,2.0,221677.0
Manali Trance,3OZr3vo7SmYpn5XqeQEAOM,58.0,203206.0
Dil Kyun Yeh Mera,5nHwX7e5XHnie22nuTFgda,57.0,333200.0
Mere Liye Tum Kaafi Ho,73whmTgxzRFLhPbRMkDnjj,51.0,132158.0
"Nachange Saari Raat (From ""Junooniyat"") (feat. Neeraj Shridhar, Tulsi Kumar)",2l3qbJuhwjzxb0eBfyAyTa,51.0,251513.0
Allah Ke Bande,6Y1cH3RzDCMWGQtOS0HmP8,58.0,246883.0
Saagar Jaisi Aankhonwali - Saagar / Soundtrack Version,5ZZm2yxaR7HG9KeGPKqVW8,35.0,302146.0
"Mitra Re - From ""Runway 34""",4SmMVj2SnYXPA2M9LhtCnO,58.0,221936.0
Ishq Hua,5DyYcwMw0f6z3FefXNLOHv,53.0,263026.0
Mere Mehboob Mere Sanam,1hnLo3D6Hm2H9966DQ89Og,41.0,419498.0
Shut Up & Bounce,7JFIDJAi9RoCn0JYavNLRG,48.0,277493.0
Deva Shree Ganesha,6Ozx2ngGtXrqznTKhKBlrT,56.0,356826.0
Gote Tu Gote Mu,5IBv4q2phbyLWi7AksAqwx,28.0,310995.0
Otha Sollaala,7lnRiEP7BHXuILXNY9MH8f,61.0,238986.0
Pappi Jhappi,5tMipBSvSMeppvepjQnbex,58.0,178955.0
