,ID,Popularity,Duration
餓狼傳說,4wl9iITsMpHSpCOxlVQZuR,31.0,270986.0
不要把冬天衫放回衣櫃,2NmGfvtRSYdxUOeJDtf8VN,34.0,155513.0
雨季不再來,71CfrTfpDxyzx33Qa98uvL,32.0,312666.0
分手100天,39qejN5RYGsWWnJkdHKPbv,41.0,242952.0
獨一無二,24L9JvI4WHMIG5RfjWkkqF,38.0,319720.0
可一可再,4hPBGtZisl600ivED9G6rd,35.0,287573.0
戀愛預告,63vme0SmZfcB7KwJ7BpXW2,36.0,220200.0
不許你注定一人,0zaJVOyKHcBVtf0itXajME,38.0,303947.0
慕容雪,2v2W6dosK9M4BQ5pkmoUey,30.0,240453.0
初戀,1gGgVV7kyte91NOurgCbPo,34.0,209000.0
每當變幻時,78C752I4sPRnHFtbjJtOAe,35.0,177323.0
如果有一天,6h1TuU6KfLad7JKupSs6tw,34.0,270760.0
有人,44JqJ3F2pXoLNF4nB7Kwnu,38.0,197400.0
別為我好,7mjD9lnV1pLw36tPcyPHF5,38.0,207620.0
斷點,15oZlIgZNs28cjd5f48Ukh,36.0,268893.0
"寶貝,對不起",6jeRIrLVaafDJ54yTGjFER,23.0,258506.0
一場誤會,2TuVysg2EcUWv7ZhTuML7l,39.0,203666.0
可以了,4nBzR26lD5p0VXyElcjSVW,36.0,291960.0
一生有意義 (無線電視劇[射鵰英雄傳之東邪西毒]主題曲),00u8NGZZnAi1WgAbZEjRFi,25.0,183773.0
雨過天陰,2E4H8UwrcvjhGBOXixvdHi,36.0,219946.0
因為你,14LL3tolxYbhNS9p5Ft0ul,32.0,224826.0
另一個諾貝爾,56Aal9B8gurDIRmlw4y74a,44.0,254028.0
白玫瑰,1yR6ZAG1jdQmlqhs0lbPsu,35.0,240173.0
"荳芽夢 - 電視劇""荳芽夢""歌曲",3PJinCAuoCz2GKhjWY4QW1,35.0,137160.0
My Only One,3Q5y7orRW5COIaRKLlfkrT,40.0,201906.0
理性與任性之間,2sQ1tPY9JSeBbmEefD8kir,41.0,307873.0
穩穩的幸福,7zdUuaoSfRUvpGSctUf4wM,34.0,223149.0
聽不到的說話,48sqQmIzYXfuaGhZxLIyQ7,36.0,228360.0
喝采,47jDDnVVkoWUyi47sBuDpu,35.0,214506.0
回到最愛的那天,0NOWbBPJKCei1U3yxOOqK0,36.0,258419.0
甜蜜在十點五十九分前,3cbv2A9wr4n5100gxnHmUO,42.0,149034.0
捨不得你,7HPCXjqV9D0n7JRHn7QGs2,39.0,267120.0
"司機 - 電影""下一站天后""歌曲",68FU6c9Got6A0FNDEEb1vm,36.0,223640.0
係咁先啦,6BZaPX5NnjIIasH6EO0P63,43.0,209251.0
習慣失戀,5JnZhlITbiOhgQyzYZMSU1,34.0,236653.0
拼命無恙 in Bb major,24tzRRz8r26gOmQB8PEZwv,42.0,241062.0
掃興,2gtAkWncoyvhMFxowAsDiE,29.0,249533.0
非走不可,6g7Zj55p1tMuljCfuXgJlG,38.0,243233.0
"問我 - 電影""跳灰""歌曲",2qe8ySQMI0qSSNfX7zpx8F,36.0,195013.0
意外現場,3xGgg3JwUJYcek3pX47hP6,42.0,249160.0
騷靈情歌,79BzfdpSjPmRwXcgEaAdw0,39.0,249026.0
記事本,3FbzN8826gMAaMxUn2Kss5,37.0,247026.0
玉蝴蝶,1DYMqEb36sEyO16itHpRmW,37.0,290062.0
Ni You Xin,08LepwBtxTGoSB7leZmrGA,37.0,233933.0
不必在乎我是誰,7rWHvYYs1qUdMhBXzlQKaw,36.0,227762.0
四大才子發大財 : 新春行大運 / 錢會繼續黎 / 天才白痴“錢錢錢” /,21ElxlngGyFczQ0eLbow1n,36.0,210266.0
月半彎,36NRWqmfszGGGg52hVxR5l,35.0,226146.0
正式開始,1jVw3apCOogFU1mOquNIhC,45.0,208778.0
雙驕吐艷慶新春 : 祝福你 / 新年快樂,6jztTzl0NZBoMbBXOVNOgK,36.0,228734.0
愛情值日生,0ZXAnDoI4IDVab7Tg760Uh,42.0,240884.0
不拖不欠 (電影“百份百感覺1”主題曲),0ZIUGwht9WvhqXCanZq7Y7,37.0,257466.0
傻女,1mJrEV0RleZsIdbNBzTIxl,30.0,230573.0
怯,4ND2IzfMXwg0rzNsFlLUd0,34.0,201191.0
癡情司,5DJ8ybuxuscf0L1TeujGJU,31.0,298080.0
我不夠愛你,3xcjNvb5xWnlg2KZsWM4r1,36.0,250000.0
那有一天不想你,1DEPyqGx1wiYNPZc4dh7oS,33.0,278453.0
我不會唱歌,4HzlDMavG16KuUAX7LoVrb,34.0,202600.0
我這樣活了一天 (電影《流水落花》主題曲),2f8H1svNdTaaLUON2xiINz,25.0,217357.0
我真的受傷了,5mNanSqILS25aPhiiN1fxy,24.0,213320.0
憂傷的嫖客,0SufgKHlxmtDSk30hdPWwz,33.0,118514.0
囍帖街,4Bftk2JcO5Ul017BCmcBL4,31.0,267560.0
斯德哥爾摩情人,6avmb27mSIvp3hUD5xxcPf,33.0,252840.0
"愛我請留言 - (劇集 ""愛我請留言"" 主題曲)",2V8J29IIjB0SbwhvKMijrV,33.0,232440.0
只是不够爱 - 电影《飞虎之雷霆极战》主题曲,3ByOod3eqe1GchNVoRmLHd,39.0,192196.0
一首獨唱的歌,3c6bMtabYORAfwC78CYtUU,34.0,203493.0
怯,58AfuE1QTEt30NWq2N1XJh,34.0,202093.0
偏偏喜歡你,3WQZGenCnNiC9c7dUPnFrp,32.0,212998.0
Good Luck,3fvevSJBalzUd4AW1HcS4J,40.0,86158.0
"年少無知 - (劇集 ""天與地"" 片尾曲)",2HgSK0w0mfcB9dEnFMYagd,36.0,296106.0
月半小夜曲,4wY59cuBLPyeUnKDk703Wr,31.0,225213.0
跳舞街,7tS15SwyMy4hjMepq5K76q,33.0,225533.0
How Many Times,3zRo0eZIX3nS36yAeCwLSO,40.0,229104.0
追,6Dcrk4YM6YqAICqcKG4yf6,37.0,322739.0
難道喜歡處女座,3Culhf5uvEDZQhaK3AhFqn,42.0,189041.0
十分. 愛 - 合唱版,3Onsu0DFNSH406fJo8kSLU,37.0,233035.0
因為愛所以愛,3MNF1IrYF3VfPOSWnANQDo,37.0,263005.0
聖誕結,2CkBhLZjpplC5FdrQudyPF,33.0,281773.0
親密愛人,4X1r71lKYUth0MwGxnA3Eu,27.0,299186.0
13樓的大笨象,1Cn2n7LpjpiElg6IyKB9id,38.0,293008.0
無常,0jtSFAf3BJP0QX0VJU1Luo,29.0,156666.0
滄海遺珠,7eraECYj44sXFkXU6VV2xs,38.0,233453.0
月球上的人,0inNdJ396CFajOKUdOMrF4,27.0,223506.0
電台情歌,4GUkwP7dbOjkoERmJ015J7,33.0,248373.0
天各一方,2maULxMaf7ckGIBGK596QS,25.0,194773.0
月半小夜曲,7qYmYGsbl6GSwtvtCESGRe,37.0,291600.0
"婚紗背後 - 電視劇""流氓大亨""歌曲",0BFx27RQikMr4OuvSOwr4x,36.0,287573.0
還記得,3uxoVLnx0K7diWhZyZeqmS,35.0,250116.0
相信一切是最好的安排,5BYg9NfU9ynzhp3UBX49bY,45.0,258653.0
心之科學,3c1K5tI1PxO1BikIOJ5Z0P,36.0,235349.0
石頭記 - 電影「金燕子」主題曲,1Plo7aqKmkCDRqaxNlgaOt,35.0,274693.0
借火,5DUDVKTyMbm6c0XsJistVc,39.0,225840.0
老情歌,47hGt2jD8TCUrgDPcVNkUf,38.0,289400.0
BB88,4PdVBteRApQTWQZmDukMM5,32.0,198706.0
慢慢,2hFT4DOfh4gk0pMjajy26A,37.0,284973.0
當愛已成往事,6uZbqSnFnbcSc4WKWV2lmE,32.0,302200.0
Elevator,1r0AJpxFzqFvptMlsHu3Bp,43.0,202241.0
Monica,1B9OQxCuWdWlyVICqoGcut,32.0,231280.0
唯獨你是不可取替,0WSMw6Y6ovrNMqvKyQ0A5r,39.0,251413.0
在水中央,0kvuTOIRmjbogSU8B0c9KF,34.0,225160.0
1973的軌跡,5Z75p2CZda3ofl2umIJBmc,41.0,189066.0
"情義兩心堅 (無線電視劇 ""神雕俠侶"" 插曲)",6ZUyVqUuT0mt7lDihBDTGB,36.0,203386.0
驟雨中的陽光,0dF7rAkwwB4OKPouxicKWj,37.0,169000.0
秋意濃,7m1Jz52iOrUkp6APgISGVB,36.0,395133.0
給自己的信,4yKFdf4jLCSpl7fYHF1E0J,39.0,264320.0
恭喜發財2016,5V5Iv9cDqaxApooYE8B1vp,38.0,186066.0
殺死我的溫柔,3p4eGvBLaduKpAvWblfZKv,36.0,275640.0
遊樂場,1N2OEC9c5RzlNeI8x6l8M3,37.0,248228.0
還是覺得你最好,6plpGZ7TRQzo8BTVGdBZ4d,39.0,322306.0
K同學,2QOMOEdrKdYjTJVi7aGIyG,36.0,180781.0
幾許風雨,0JMzM8khB75Pxemj1YdVu5,34.0,251333.0
為你我受冷風吹,2cCVY7KyjVqsyc3v26zOO4,35.0,257733.0
復刻回憶,13tCl0OoBldLiDPsxS18Kf,35.0,286266.0
黑白,2WvUDNEW4LvDDNq3DY0gY8,34.0,231613.0
明目張膽,0w8s03MKvuLmK8CozWJCQu,37.0,275612.0
雙星情歌 - 電影「鬼馬雙星」插曲,3toQhyIlpIc8grcVD0FIQV,24.0,179640.0
感應,5JHcpKOc9zpZTWlpdaZKvo,31.0,257525.0
一雙手,2MZ5nFuCRenqGpeRifye6s,40.0,211254.0
上心,7oPAq9bcuO6eZMkP6pPj3P,30.0,229253.0
"Can You Hear - 劇集 ""白色強人"" 插曲",2amVta9Moyfrq77T6Z1PuS,38.0,243573.0
痛愛,3QSh37f3Sp4SjG4hOtsRTf,41.0,213440.0
他不是你,4A6uVEFbhT7TO9zXq9pRAL,39.0,251428.0
無心傷害,1y1vx3ybu8k4JWlMjGXRGi,43.0,296760.0
真的漢子,3oL68eDKQDntxE08KD5mU5,33.0,284666.0
因講了出來,4AueyrUkD7CuzvtUbhYH8I,35.0,161032.0
男朋友,4HBOOGIvjHGOrdtEiFkN03,39.0,197040.0
人在旅途灑淚時 - 電視劇 “人在江湖 ” 插曲,7MAaqOZpnsulxagFClekUS,38.0,175866.0
ABC君,25L5eeqMhZHIycO4PDNo6v,36.0,228019.0
Dum Dum,3hfAcz6q8GmeHoC9gPS6Vn,41.0,185628.0
"紅蝴蝶 - (劇集 ""巾幗梟雄"" 主題曲)",2hW9DwPV7jpTCHCfvhqQiF,34.0,227440.0
半點心,5SMQrzM29uuyl99pEtHc4z,28.0,232800.0
舊歡如夢,1O1DIgewmYbTrLORq430ED,32.0,159066.0
小白,0Y52vD8PNaBWGq4p9sK8NT,35.0,222424.0
逸後,70miBjS79N0iZrG3xOoqZo,42.0,256733.0
DWBF,3Cdpq0qhrgiwPRkR720FZf,45.0,198500.0
約定,55clCVll09oHjttrkShr8x,33.0,336253.0
夕陽無限好,4J1sHmqnc1lEwdiJEgqPOS,36.0,244253.0
陰天快樂,1WnTw4Tzpc5q9dHMjs4aHu,36.0,261480.0
生還者,6TWqbYNkOQAMks0W23OTlb,40.0,213560.0
阿郎戀曲 - 電影《阿郎的故事》歌曲,6VdXBzJ5dVVDpIuA7VTAcQ,35.0,310653.0
某夜後台,7nHQMSRzvcv9nxp2TmIdtV,34.0,174769.0
好心分手,1Edt0ANArdG7x2dDyFfY4y,39.0,176842.0
續集 - 《On Call 36 小時 II》 主題曲,0vG6VyHA4kKt793ErzQuB5,36.0,319130.0
到時見 (Acoustic Version),23I26HyXJO6i9PH8BJKpQL,41.0,147327.0
再見二丁目,5d4MvCqMJUgoVVCz16tvlD,34.0,236840.0
聖誕很忙,3Tp3NMKc3zX2Yi1WfUecmF,43.0,237759.0
不悔的決心 - (劇集《超能使者》片尾曲),3fuzT3i2ygsBXhHBaPlxU3,34.0,231182.0
梨渦淺笑,5e4AZNFIJMN7humfNdFm6q,36.0,186840.0
上海灘,75chXLp39KWu3oUXs1Kb2T,30.0,195000.0
陪著你走 (合唱版),3x4cfYsYLrrTwS9JZAzUdC,37.0,211260.0
感冒,7dANeXtRvuczIWc1corEeo,35.0,273666.0
今天只做一件事,7cUrqt1Uqb9OEWvog8xIrB,27.0,229906.0
This is MC,1vWR4KgwhU4zzTdKjnOP0F,44.0,193010.0
自毀的程序,5cGipBquhoVjNn5U6XX61k,46.0,238972.0
祝福,02Djw3KZDlG3pShFUm8t7n,36.0,275000.0
囚鳥 - Remastered,7CXIxU4GflzqTiaRNfS6LY,42.0,288760.0
愛你一萬年,0DGSUWQgzOKUw6wiB6tJ59,36.0,292173.0
晴天 陰天 雨天,7MTMjQxLrcIG49Yzajm4IO,39.0,169493.0
祇願一生愛一人,4fyjZCjP8soNM0D7crihED,28.0,256013.0
他不准我哭 - Unplugged '05,0sYo85IenBaAvHrIFHMbWL,38.0,213019.0
情憑誰來定錯對,36AKnhXJm4gT7dREo8TqXP,34.0,245106.0
忘不了您,407VL8m0h7g9WSemdOS3pr,35.0,240800.0
陰天,3aYrODYvFONIvLXMc9VwDv,36.0,242817.0
Fang Sheng,3vIlq0q2DevFrp5H0hLv5x,36.0,235426.0
十分錯 (with MC 張天賦),6dtBNUWQQ5H9euoEj34o0S,43.0,221800.0
情人,3MByAkj7whB5uawAx6y5D0,37.0,218760.0
Long D,3tzjn5ILVuHc4eSLTH60lY,41.0,221538.0
全世界失眠,4iohEcyDqSrl2OKMkH4vtg,37.0,249200.0
慢慢,3kBfJTMeDXxKh85cAgYqtN,32.0,283733.0
男兒當自強,0HTUzbJMgnYT226qGW4520,33.0,259000.0
妳太善良,13p8haDgRlue6ak2tVKvPe,35.0,224346.0
如果我是陳奕迅,1H5MqIeVK6YCojDQJ0tELl,38.0,189440.0
陰天快樂,3ZYbZ7kVjyiQPV6LnbNHUG,25.0,261480.0
I've Never Been To Me,5ciGZ7SAhOAsfznNBU9i3D,37.0,241666.0
就让这大雨全都落下,7gN4q4ppRIsp730Ud9uVGD,36.0,254117.0
纏綿遊戲,4yhUfsNcXp1HlCRoZ4hHtg,36.0,243680.0
明知做戲,6cynYRBT38djovfHcEaVuS,37.0,269026.0
浮躁,4lzrWjF6IgJr659sQteyyM,33.0,183093.0
1984,0zmU4bGV5OmfBsOU9KPfxy,39.0,192600.0
百年樹木,5ql4tlxS3GtADNsSRi2GnW,42.0,306826.0
風箏與風,4UAoIpIbTqRnmW6r72aucS,36.0,212708.0
哭砂 - Remastered,240AkEtInwSJhgZ3liTgYc,40.0,279400.0
開到荼蘼,6RR7OXj4hLRV2T0hc7la0w,35.0,312626.0
擁抱愛,563CqqxBv4EosdxDQVnYk2,36.0,188746.0
你是你本身的傳奇,5uMkdWf1H6JEcpcdnPOSZM,43.0,228613.0
