,ID,Popularity,Duration
Talk,4tf04WrZTy60CawyvueIdK,59.0,158293.0
Here to Forever,7Cva2EgJougx6O6M5xgWAq,57.0,226320.0
American Beauty,7K36drJq6lInkW6Kkojucp,57.0,158013.0
Heat Waves (with iann dior),7vZqwaSk4sVcDyZbMcxS8N,62.0,175301.0
Banks,6LFM1lnBcCIMDkU8oPYgmh,56.0,240266.0
Kill V. Maim,3WXhshrs1fzwF3rQE399Gq,61.0,246006.0
forget her,5vFuoZLvUmAzzIiLSEhk0K,61.0,143355.0
Wake Me,6YArGkJUr82ehzRFa2YaRK,57.0,163880.0
Saint Bernard,4YTFAawmOFyRjJdT6H95oE,57.0,103343.0
Ripples,0SIrEgMzTSWzFoT272mk2X,59.0,187813.0
The Ultimate Showdown of Ultimate Destiny,0hgLHFyN9u3WqkK2ofpuUX,58.0,213087.0
GASOLINE,5jWcNM7uHhsAj9yuypurdP,69.0,221062.0
LEMONS (with Cavetown),7hRgBIc6DHSAup9lH11VNZ,58.0,232844.0
If You Want To,7I1kle4TNmkfednJDKo8GR,59.0,223638.0
Twisted,4TQcARE7Fd58akNhr3N7AE,62.0,222706.0
I'll Call You Mine,6rYgEHuyhO064Lgj48qlIe,60.0,201945.0
Flare Guns,7cM9Kqto11iJpY2RwgVJSq,57.0,240013.0
Bees,13otFWMHR8dlJ73XnSEW8y,60.0,190120.0
Just Like A Movie,0Jgbauc8Nv2OOjR5ERW28B,59.0,247613.0
Coming Back (feat. SZA),2pSsHnjAgEPjHmet7ChlHQ,60.0,195905.0
Hypnotic,2zsWRxMcUdGjj8TnWkVKw0,61.0,176786.0
Astrology Joint,1jcGbrSCZ32Q2vyvOpOZzg,62.0,152233.0
Bad Dream Baby,4S7misxIYuUVypO0NwDwuW,56.0,178150.0
Decimal,6eusWfAal7mOOLr0XFLkiY,62.0,178626.0
Was It Something I Said,65j65yDSE06CNKAPjsHoJt,57.0,220588.0
I'm Born To Run,6zDs6zI94L761vd0cVScTT,61.0,206920.0
Amsterdam,52BtapS0Wy7LM8R6QvJRpp,60.0,213920.0
Unrequited Love (& other clichés),1K0AENxzuLi4M420wUlvPT,58.0,286012.0
Windows Are Rolled Down,1umKFpJdXDtquGCz4oBVDJ,57.0,237226.0
Apply Pressure,2z7L8jakEq0POyRdufZCT9,58.0,194066.0
Still Be Friends (feat. Tory Lanez & Tyga),0JjM9bKm4wrwohMslcm892,63.0,213307.0
The Stable Song,3G9ETaH55bMQx8hwNhAgbU,58.0,360933.0
Poplar St,3ApAsbQP7d5GlFwwdExaTY,57.0,262539.0
All We Ever Knew,72zmwnbXjx9fMUjw3mbDSs,57.0,225560.0
Let's go to Hell,38XLUjlR84JEwK0SOvX77a,59.0,152181.0
Humbug Mountain Song,3HdcqQpq7zb5GbEKBDY34p,58.0,184346.0
