,ID,Popularity,Duration
If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,77.0,228706.0
Billie Bossa Nova,5rr3UE7U1qimKw1NqLejdH,1.0,196730.0
Would That I,37zuIvk4KBkAxxLJsxJaHq,69.0,268293.0
Die Young,7EQGXaVSyEDsCWKmUcfpLk,74.0,211920.0
bury a friend,15AghCGN8IcdqeGWBVyFOD,2.0,193143.0
I Don't Fuck With You,7FYH5AW3bVfZHJIQpq3UOA,71.0,284386.0
Mercy,0AS63m1wHv9n4VVRizK6Hc,78.0,208733.0
Normal Girl,5fQBa4wkmq28xpSLOQ202K,72.0,253586.0
Kiss Me Thru The Phone,2q4rjDy9WhaN3o9MvDbO21,73.0,193386.0
Family Line,0iNZGC211wst3VjtobNnC5,74.0,216094.0
The Man,3RauEVgRgj1IuWdJ9fDs70,75.0,190360.0
Cooler Than Me - Single Mix,2V4bv1fNWfTcyRJKmej6Sj,72.0,213293.0
Easy On Me,46IZ0fSY2mpAiktS3KOqds,79.0,224694.0
The Motto,18asYwWugKjjsihZ0YvRxO,81.0,164818.0
Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB,69.0,209160.0
Do You Like Me?,6q4yusLwjDYEcF6jXHdt7J,73.0,227663.0
Danza Kuduro,2a1o6ZejUi8U3wzzOtCOYw,75.0,198773.0
Wasted (feat. Kodak Black & Koe Wetzel),7ndDjjFDzw6Q68TmIzgHep,69.0,155495.0
Just the Way You Are,7l5od319sVCKC3aPZI2CYP,1.0,220733.0
Enough,4vuVzf7BIZhDAFm3TB0Tzy,73.0,185266.0
Sweet,3VSYkAf6f46i5ZkXOHORq1,70.0,291640.0
Since U Been Gone,3xrn9i8zhNZsTtcoWgQEAd,68.0,188960.0
Mr Loverman,2IVsRhKrx8hlQBOWy4qebo,74.0,216880.0
Fingers Crossed,3yMC1KsTwh0ceXdIe4QQAQ,76.0,175344.0
Story of My Life,4nVBt6MZDDP6tRVdQTgxJg,79.0,245493.0
I Know,6rje9f1wRFJDO2iTORw0lH,71.0,319973.0
TRUSTFALL,4FWbsd91QSvgr1dSWwW51e,78.0,237200.0
Grapejuice,4j6kId9QIqhoXvqHKgSKa0,74.0,191958.0
8TEEN,5bgwqaRSS3M8WHWruHgSL5,72.0,228600.0
Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,75.0,162680.0
Love You Like A Love Song,0laYHRpNTS6i8FXdupHkJ4,77.0,188453.0
Snow On The Beach (feat. Lana Del Rey),6ADDIJxxqzM9LMpm78yzQG,74.0,256124.0
Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,76.0,208866.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,77.0,203417.0
